Title,Duration,Views,Posted,Uploader,Link
Charlie Puth - Attention [Official Video],3:52,"988,494,688 views",2 years,Charlie Puth,https://youtube.com/watch?v=nfs8NYg7yQM
Attention - Charlie Puth (Lyrics),3:34,"202,218,600 views",2 years,DopeLyrics,https://youtube.com/watch?v=5gBeLN2Jkng
Charlie Puth - Attention (Acoustic) [Official Audio],3:27,"8,275,005 views",2 years,Charlie Puth,https://youtube.com/watch?v=rolCnUu8m-I
Charlie Puth - Attention ( cover by J.Fla ),2:36,"52,711,541 views",2 years,JFlaMusic,https://youtube.com/watch?v=1tBlaVjWwbI
Charlie Puth - Attention (Live on the Honda Stage at the iHeartRadio Theater NY),4:04,"1,849,595 views",1 year,Charlie Puth,https://youtube.com/watch?v=2-uJxAtiQgM
Charlie Puth - Attention | Fingerstyle Guitar Lesson (Tutorial) How to play Fingerstyle,55:31,"575,008 views",1 year,Let'sPlayGuitar!,https://youtube.com/watch?v=uy2L28T10H4
Charlie Puth - ‘Attention’ (live at Capital’s Summertime Ball 2018),3:54,"6,616,714 views",1 year,Capital FM,https://youtube.com/watch?v=WiztottvSm0
"Charlie Puth - ""How Long"" [Official Video]",3:31,"527,076,262 views",1 year,Charlie Puth,https://youtube.com/watch?v=CwfoyVa980U
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],3:51,"2,261,706,876 views",3 years,Charlie Puth,https://youtube.com/watch?v=3AtDnEC4zak
Shawn Mendes - There's Nothing Holdin' Me Back,3:58,"820,297,628 views",2 years,Shawn Mendes,https://youtube.com/watch?v=dT2owtxkU8k
Charlie Puth - Attention (Emma Heesters Cover),2:49,"8,390,369 views",2 years,Emma Heesters,https://youtube.com/watch?v=MM4MX5tbF8A
Andrey. 'Attention'. The Voice Kids Russia 2018.,4:20,"151,426 views",1 year,Beautiful Voice TV,https://youtube.com/watch?v=HSfuJPe2PBc
"Charlie Puth - ""Attention (Oliver Heldens Remix)"" [Official Audio]",3:32,"5,145,928 views",2 years,Charlie Puth,https://youtube.com/watch?v=SGB-WpDei5Y
(Charlie Puth) Attention - Josephine Alexandra | Fingerstyle Guitar Cover,3:47,"10,603,976 views",1 year,Josephine Alexandra,https://youtube.com/watch?v=aTgXgN9fOsk
Charlie Puth: Attention,4:22,"9,403,526 views",2 years,The Tonight Show Starring Jimmy Fallon,https://youtube.com/watch?v=Q4Fghndv3Qw
Attention x Phir Bhi Tumko Chahunga (Mashup by Aksh Baghla),3:43,"2,590,661 views",2 years,Aksh Baghla,https://youtube.com/watch?v=_x32QyEcBZ0
Charlie Puth - Attention (8D AUDIO) 🎧,3:32,"2,368,346 views",9 months,8D Era,https://youtube.com/watch?v=Tc0OmET01oE
ATTENTION @easportsfifa WE NEED TRANSPARENCY FOR FIFA 20 PRIME ICON MOMENT CARDS!,14:08,"4,741 views",4 hours,Nick28T,https://youtube.com/watch?v=980Sdkmfm6c
Playlist,,,,,
Attention - Charlie Puth / Beginner's Class,3:39,"12,896,387 views",2 years,1MILLION Dance Studio,https://youtube.com/watch?v=IczA3JvTx4c
Charlie Puth - Attention (Lyrics),3:32,"34,871,445 views",1 year,SuperbLyrics,https://youtube.com/watch?v=pZEpfswmdXE
"Charlie Puth - ""Attention (Lash Remix)"" [Official Audio]",2:56,"1,518,593 views",2 years,Charlie Puth,https://youtube.com/watch?v=X83oxgCaxlY
Charlie Puth - Attention (Lyrics),3:32,"584,216 views",1 month,7clouds,https://youtube.com/watch?v=Oz5JDtkf1as
